author_id,review_count,name,role,profile_url,average_rating,rating_count,text_review_count,record_create_timestamp
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:14:00.998617
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:14:02.874229
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:14:03.810424
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:14:04.761270
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:14:06.593794
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:14:07.512304
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:14:21.678375
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:14:27.404615
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:14:29.224172
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:14:30.179931
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:14:31.069282
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:14:33.012404
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405099,25739,2020-02-19 22:14:33.993378
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39709,5869,2020-02-19 22:14:34.973499
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:14:36.814552
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:14:37.766952
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:14:52.182927
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:14:57.785693
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:14:59.628482
